trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,Fixation.started,Target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
135,0,135,0,5,328.1055348000009,328.1055348000009,0.023711199995887,[-0.14322916666666666],[0.2630208333333333],[1],[0],[0],[1.718362599996908],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
136,0,136,0,10,329.86469639999996,329.86469639999996,0.03520530000241706,[0.16796875],[0.3919270833333333],[1],[0],[0],[2.039056499997969],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
137,0,137,0,10,331.9492595999982,331.9492595999982,0.04082829999970272,[0.4192708333333333],[0.3919270833333333],[1],[0],[0],[1.9525104999993346],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
138,0,138,0,5,333.9156298000016,333.9156298000016,0.016230799999902956,[0.3684895833333333],[0.21875],[1],[0],[0],[1.9941548999995575],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
139,0,139,0,10,335.95166349999636,335.95166349999636,0.03315929999371292,[0.2630208333333333],[-0.4127604166666667],[1],[0],[0],[2.85943319999933],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
140,0,140,0,10,338.8473688000013,338.8473688000013,0.03274430000601569,[0.3723958333333333],[0.13802083333333334],[1],[0],[0],[1.8101000000024214],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
141,0,141,0,10,340.6974410999974,340.6974410999974,0.034759399997710716,[0.3502604166666667],[-0.3828125],[1],[0],[0],[2.0256607999981497],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
142,0,142,0,5,342.74410640000133,342.74410640000133,0.020707499999844003,[0.3411458333333333],[-0.14192708333333334],[1],[0],[0],[1.804606400000921],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
143,0,143,0,10,344.59167929999967,344.59167929999967,0.03536850000091363,[-0.21354166666666666],[-0.032552083333333336],[1],[0],[0],[2.024156400002539],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
144,0,144,0,10,346.6629333999954,346.6629333999954,0.03979800000524847,[0.16927083333333334],[-0.4401041666666667],[1],[0],[0],[2.6354780000037863],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
