trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,Fixation.started,Target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
16,0,16,0,10,50.41116659999534,50.41116659999534,0.0346378000031109,[-0.07421875],[-0.3333333333333333],[1],[0],[0],[1.8254018000006909],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
17,0,17,0,10,52.277369999996154,52.277369999996154,0.03660759999911534,[-0.21744791666666666],[-0.2955729166666667],[1],[0],[0],[1.989932399999816],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
18,0,18,0,10,54.301678199997696,54.301678199997696,0.031227200001012534,[-0.4830729166666667],[0.1796875],[1],[0],[0],[1.8121004999993602],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
19,0,19,0,10,56.154435899996315,56.154435899996315,0.0370995999983279,[0.4140625],[-0.23567708333333334],[1],[0],[0],[2.1557555999970646],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
20,0,20,0,5,58.33088399999542,58.33088399999542,0.020316099995397963,[0.22786458333333334],[0.4908854166666667],[1],[0],[0],[2.288864199996169],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
21,0,21,0,10,60.663611500000115,60.663611500000115,0.03528150000056485,[-0.4361979166666667],[0.2682291666666667],[1],[0],[0],[2.7237199999945005],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
22,0,22,0,10,63.42367699999886,63.42367699999886,0.033024799995473586,[0.4283854166666667],[-0.4778645833333333],[1],[0],[0],[3.3909474999964004],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
23,0,23,0,10,66.84898249999969,66.84898249999969,0.03185769999981858,[0.11197916666666667],[0.057291666666666664],[1],[0],[0],[2.276738300002762],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
24,0,24,0,10,69.16157899999962,69.16157899999962,0.031483499995374586,[0.10286458333333333],[-0.2265625],[1],[0],[0],[2.427619900001446],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
25,0,25,0,10,71.62673579999682,71.62673579999682,0.03221119999943767,[-0.4348958333333333],[-0.052083333333333336],[1],[0],[0],[2.1118258999995305],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
26,0,26,0,5,73.75858699999662,73.75858699999662,0.01973329999600537,[0.3815104166666667],[-0.07682291666666667],[1],[0],[0],[3.0871236999955727],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
27,0,27,0,5,76.86437879999721,76.86437879999721,0.016017900001315866,[0.4895833333333333],[-0.0703125],[1],[0],[0],[2.410560100004659],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
28,0,28,0,10,79.31876779999584,79.31876779999584,0.03598880000208737,[0.0859375],[0.4622395833333333],[1],[0],[0],[2.7056224000043585],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
29,0,29,0,5,82.05098749999888,82.05098749999888,0.023574699996970594,[-0.4856770833333333],[0.13932291666666666],[1],[0],[0],[1.9196553000001586],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
30,0,30,0,10,84.00774559999991,84.00774559999991,0.031265600002370775,[0.3216145833333333],[-0.1875],[1],[0],[0],[3.0268971000041347],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
31,0,31,0,5,87.04932649999682,87.04932649999682,0.016564600002311636,[0.033854166666666664],[0.35546875],[1],[0],[0],[2.4078999000048498],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
32,0,32,0,10,89.5232165999987,89.5232165999987,0.05668919999880018,[0.17838541666666666],[0.01171875],[1],[0],[0],[2.170413700005156],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
33,0,33,0,5,91.71257409999816,91.71257409999816,0.01992439999594353,[0.4283854166666667],[0.4700520833333333],[1],[0],[0],[2.4382915000023786],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
34,0,34,0,5,94.17752469999687,94.17752469999687,0.020685900002717972,[0.005208333333333333],[0.09505208333333333],[1],[0],[0],[2.0043404000025475],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
35,0,35,0,5,96.2007117999965,96.2007117999965,0.016211499998462386,[0.08723958333333333],[0.3020833333333333],[1],[0],[0],[1.6771469000013894],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
36,0,36,0,5,97.90038490000006,97.90038490000006,0.018514200004574377,[0.3333333333333333],[0.20833333333333334],[1],[0],[0],[2.3247657000028994],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
37,0,37,0,5,100.2473037000018,100.2473037000018,0.01959099999658065,[-0.34765625],[0.3072916666666667],[1],[0],[0],[2.1903791000004276],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
38,0,38,0,5,102.46184669999639,102.46184669999639,0.018365600000834092,[0.02734375],[-0.3125],[1],[0],[0],[1.8574297000013757],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
39,0,39,0,5,104.34712209999998,104.34712209999998,0.021307499999238644,[0.24869791666666666],[-0.4505208333333333],[1],[0],[0],[2.253586600003473],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
40,0,40,0,5,106.62168609999935,106.62168609999935,0.01851130000432022,[-0.23828125],[-0.4427083333333333],[1],[0],[0],[2.073058999994828],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
41,0,41,0,5,108.72284170000057,108.72284170000057,0.021101199999975506,[0.11979166666666667],[0.24739583333333334],[1],[0],[0],[2.454853399998683],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
42,0,42,0,10,111.22069170000032,111.22069170000032,0.03595420000056038,[-0.24869791666666666],[0.4231770833333333],[1],[0],[0],[3.1874387999996543],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
43,0,43,0,10,114.4412067000012,114.4412067000012,0.030788100004428998,[-0.12239583333333333],[0.21614583333333334],[1],[0],[0],[1.862966900000174],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
44,0,44,0,5,116.31764439999824,116.31764439999824,0.016023000003769994,[0.24479166666666666],[0.3880208333333333],[1],[0],[0],[2.394263599999249],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
45,0,45,0,10,118.75106439999945,118.75106439999945,0.031075099999725353,[-0.16536458333333334],[0.15625],[1],[0],[0],[2.3456302999984473],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
46,0,46,0,5,121.12274149999575,121.12274149999575,0.020053899999766145,[-0.10807291666666667],[-0.2604166666666667],[1],[0],[0],[2.636510799995449],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
47,0,47,0,5,123.7806985999996,123.7806985999996,0.02027010000165319,[-0.4348958333333333],[-0.1484375],[1],[0],[0],[2.006369700000505],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
48,0,48,0,10,125.82528730000195,125.82528730000195,0.0310100999995484,[0.12890625],[0.3072916666666667],[1],[0],[0],[2.3620859000002383],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
49,0,49,0,5,128.20877779999864,128.20877779999864,0.02304599999479251,[0.23046875],[0.16796875],[1],[0],[0],[2.053453600005014],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
50,0,50,0,5,130.28682639999897,130.28682639999897,0.020411800003785174,[-0.2760416666666667],[0.4440104166666667],[1],[0],[0],[2.705398600002809],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
51,0,51,0,5,133.01266880000185,133.01266880000185,0.018000000003667083,[-0.20052083333333334],[0.16536458333333334],[1],[0],[0],[1.559462799996254],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
52,0,52,0,5,134.5971406999961,134.5971406999961,0.020987399999285117,[0.125],[0.3984375],[1],[0],[0],[2.005418599997938],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
53,0,53,0,10,136.65176880000217,136.65176880000217,0.040007399999012705,[-0.3346354166666667],[-0.15755208333333334],[1],[0],[0],[2.3854445999968448],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
54,0,54,0,5,139.0533942999973,139.0533942999973,0.01758940000581788,[0.3580729166666667],[-0.09765625],[1],[0],[0],[2.092349500002456],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
55,0,55,0,10,141.19051690000197,141.19051690000197,0.03618509999796515,[0.19140625],[-0.3046875],[1],[0],[0],[2.3383948000046075],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
56,0,56,0,10,143.5662938999958,143.5662938999958,0.033699799998430535,[0.3020833333333333],[0.040364583333333336],[1],[0],[0],[2.375770399994508],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
57,0,57,0,5,145.96293480000168,145.96293480000168,0.019903699998394586,[-0.06770833333333333],[0.3984375],[1],[0],[0],[2.4388693000000785],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
58,0,58,0,10,148.44998589999886,148.44998589999886,0.03808420000132173,[-0.19791666666666666],[0.4205729166666667],[1],[0],[0],[2.5869612000024063],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
59,0,59,0,5,151.04973040000186,151.04973040000186,0.01753659999667434,[-0.18880208333333334],[-0.040364583333333336],[1],[0],[0],[2.7919599000015296],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
60,0,60,0,10,153.88566629999696,153.88566629999696,0.03582920000189915,[-0.24739583333333334],[-0.06640625],[1],[0],[0],[2.0243031999998493],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
61,0,61,0,5,155.92534680000244,155.92534680000244,0.015699499999755062,[0.07682291666666667],[0.0859375],[1],[0],[0],[2.010929299998679],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
62,0,62,0,10,157.98478520000208,157.98478520000208,0.039417200001480523,[0.3671875],[0.18619791666666666],[1],[0],[0],[2.6191820000021835],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
63,0,63,0,5,160.6179359000016,160.6179359000016,0.016572200001974124,[-0.24348958333333334],[-0.03125],[1],[0],[0],[2.0937274000025354],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
64,0,64,0,10,162.75422719999915,162.75422719999915,0.03546559999813326,[0.2669270833333333],[0.12109375],[1],[0],[0],[2.4074256000021705],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
65,0,65,0,10,165.20445589999872,165.20445589999872,0.03672509999887552,[-0.43359375],[0.21875],[1],[0],[0],[2.0886261999985436],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
66,0,66,0,5,167.30680050000228,167.30680050000228,0.0161353000003146,[0.3125],[-0.4205729166666667],[1],[0],[0],[2.127454499997839],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
67,0,67,0,10,169.48451499999646,169.48451499999646,0.04057050000119489,[-0.01171875],[0.234375],[1],[0],[0],[2.1686231000057887],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
68,0,68,0,5,171.66982260000077,171.66982260000077,0.017853999997896608,[-0.12630208333333334],[0.3502604166666667],[1],[0],[0],[1.9914698000065982],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
69,0,69,0,10,173.7110623999979,173.7110623999979,0.03837680000287946,[0.3307291666666667],[0.4934895833333333],[1],[0],[0],[2.4358432999943034],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
70,0,70,0,5,176.15893869999854,176.15893869999854,0.016053700004704297,[0.07682291666666667],[-0.4635416666666667],[1],[0],[0],[2.211416400001326],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
71,0,71,0,10,178.4099561999974,178.4099561999974,0.030655499998829328,[0.3294270833333333],[-0.2630208333333333],[1],[0],[0],[1.6300381000037305],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
72,0,72,0,10,180.0782685000013,180.0782685000013,0.03494450000289362,[-0.029947916666666668],[0.4505208333333333],[1],[0],[0],[2.607429099996807],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
73,0,73,0,5,182.70391379999637,182.70391379999637,0.01924949999374803,[-0.4739583333333333],[-0.3880208333333333],[1],[0],[0],[2.7055217000015546],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
74,0,74,0,10,185.46168639999814,185.46168639999814,0.03968650000024354,[-0.0234375],[-0.08072916666666667],[1],[0],[0],[2.086300500006473],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
75,0,75,0,10,187.595376199999,187.595376199999,0.04234720000386005,[-0.13671875],[-0.24609375],[1],[0],[0],[1.900519799994072],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
76,0,76,0,5,189.50958150000224,189.50958150000224,0.019358700003067497,[0.3046875],[-0.3463541666666667],[1],[0],[0],[2.390151199993852],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
77,0,77,0,5,191.91899209999974,191.91899209999974,0.015948300002492033,[0.1875],[-0.21484375],[1],[0],[0],[1.810152800004289],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
78,0,78,0,10,193.78093690000242,193.78093690000242,0.038536300002306234,[0.033854166666666664],[0.09505208333333333],[1],[0],[0],[2.3708020999984],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
79,0,79,0,10,196.1818531999961,196.1818531999961,0.030275400000391528,[0.2747395833333333],[0.3619791666666667],[1],[0],[0],[2.5290209999948274],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
80,0,80,0,10,198.74601039999834,198.74601039999834,0.030265099994721822,[-0.3111979166666667],[0.16666666666666666],[1],[0],[0],[1.9634259000013117],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
81,0,81,0,10,200.74729210000078,200.74729210000078,0.03459640000073705,[-0.0859375],[-0.033854166666666664],[1],[0],[0],[2.1085779999993974],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
82,0,82,0,5,202.87148209999577,202.87148209999577,0.018077799999446142,[0.23958333333333334],[-0.3828125],[1],[0],[0],[2.791175500002282],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
83,0,83,0,10,205.71435239999846,205.71435239999846,0.04032359999837354,[-0.2565104166666667],[0.4700520833333333],[1],[0],[0],[2.08416859999852],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
84,0,84,0,10,207.82910560000164,207.82910560000164,0.030494799997541122,[0.09895833333333333],[0.3893229166666667],[1],[0],[0],[2.4134336999995867],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
85,0,85,0,5,210.25898030000099,210.25898030000099,0.017646799999056384,[0.4114583333333333],[-0.15364583333333334],[1],[0],[0],[2.49121610000293],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
86,0,86,0,5,212.77551949999906,212.77551949999906,0.020346500001323875,[0.4388020833333333],[-0.09635416666666667],[1],[0],[0],[1.9060193000041181],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
87,0,87,0,10,214.73342070000217,214.73342070000217,0.038543700000445824,[0.005208333333333333],[0.18359375],[1],[0],[0],[2.038017900005798],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
88,0,88,0,5,216.78796929999953,216.78796929999953,0.020790199996554293,[0.11588541666666667],[0.0],[1],[0],[0],[2.1213254000031156],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
89,0,89,0,10,218.97821919999842,218.97821919999842,0.05252289999771165,[0.3138020833333333],[-0.21223958333333334],[1],[0],[0],[1.6702551999987918],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
90,0,90,0,10,220.68327449999924,220.68327449999924,0.035944800001743715,[0.16015625],[-0.12760416666666666],[1],[0],[0],[1.9569952999954694],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
91,0,91,0,5,222.65636760000052,222.65636760000052,0.01763720000599278,[0.014322916666666666],[0.037760416666666664],[1],[0],[0],[2.076922599997488],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
92,0,92,0,10,224.78857009999774,224.78857009999774,0.04244070000277134,[0.3111979166666667],[-0.3763020833333333],[1],[0],[0],[2.1479649000029895],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
93,0,93,0,5,226.95248549999815,226.95248549999815,0.017808399999921676,[0.4921875],[0.36328125],[1],[0],[0],[2.5404804999998305],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
94,0,94,0,10,229.5443254999991,229.5443254999991,0.041122700000414625,[-0.1015625],[-0.4114583333333333],[1],[0],[0],[4.548267599995597],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
95,0,95,0,5,234.1096419999958,234.1096419999958,0.01879460000054678,[0.23697916666666666],[0.28515625],[1],[0],[0],[2.470426599997154],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
96,0,96,0,5,236.60449009999866,236.60449009999866,0.019335500001034234,[-0.47265625],[-0.0026041666666666665],[1],[0],[0],[2.3405535999991116],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
97,0,97,0,10,238.98383699999977,238.98383699999977,0.03251859999727458,[-0.3671875],[0.17317708333333334],[1],[0],[0],[2.0604080999983125],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
98,0,98,0,5,241.06255640000018,241.06255640000018,0.018175899997004308,[0.46484375],[0.2669270833333333],[1],[0],[0],[2.1083688999933656],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
99,0,99,0,5,243.19794309999997,243.19794309999997,0.020975200000975747,[-0.13541666666666666],[0.17057291666666666],[1],[0],[0],[1.604624599996896],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
100,0,100,0,5,244.82370660000015,244.82370660000015,0.017980599994189106,[0.2799479166666667],[0.3763020833333333],[1],[0],[0],[1.9587129999999888],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
101,0,101,0,10,246.82487469999614,246.82487469999614,0.03438560000358848,[0.3229166666666667],[-0.19270833333333334],[1],[0],[0],[2.374869100000069],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
102,0,102,0,10,249.24203300000227,249.24203300000227,0.036470099999860395,[0.1875],[0.203125],[1],[0],[0],[2.5391214000046602],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
103,0,103,0,10,251.812531399999,251.812531399999,0.030126600002404302,[-0.4283854166666667],[-0.07552083333333333],[1],[0],[0],[2.513176599997678],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
104,0,104,0,10,254.36283620000177,254.36283620000177,0.033302600000752136,[0.26171875],[-0.3671875],[1],[0],[0],[2.74121610000293],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
105,0,105,0,10,257.13784419999865,257.13784419999865,0.030979499999375548,[-0.4283854166666667],[0.125],[1],[0],[0],[1.8449837000007392],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
106,0,106,0,5,258.99679040000046,258.99679040000046,0.016463100000692066,[-0.4075520833333333],[-0.375],[1],[0],[0],[2.644122600002447],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
107,0,107,0,10,261.6880048999956,261.6880048999956,0.03719049999926938,[-0.2955729166666667],[-0.3138020833333333],[1],[0],[0],[2.0886814999976195],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
108,0,108,0,10,263.8112217000016,263.8112217000016,0.03113090000260854,[-0.375],[0.3841145833333333],[1],[0],[0],[2.161857599996438],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
109,0,109,0,10,266.0063697000005,266.0063697000005,0.029828000006091315,[0.421875],[-0.20963541666666666],[1],[0],[0],[2.413332199997967],['Target'],834013,001,2022-09-16_12h06.39.802,Visual Search,2022.2.2,60.11443383544905,
